Original ID	ARO	Gene Name in CARD	Description
gi:489818582:ref:WP_003722396.1:|FEATURES|cystathionine_beta-lyase_patB|unclassified|cystathionine_beta-lyase_patB	3000025		Previously mapped to ARO:3000849 (SFH-1) by RGI
gi:446993908:ref:WP_001071164.1:|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
NC_003923.1003359.p01|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:447201637:ref:WP_001278893.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	0010004		Previously mapped to ARO:3002484 (LRA-13) by RGI
gi:446993875:ref:WP_001071131.1:|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
YP_002039320|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	3003333		https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
gi:487032971:ref:WP_001625114.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	0010004		Previously mapped to ARO:3002484 (LRA-13) by RGI
ZP_01813310|FEATURES|tet34|tetracycline|tet34	3002870		tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
gi:1002519395:ref:WP_061390634.1:|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:447201638:ref:WP_001278894.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	0010004		Previously mapped to ARO:3002484 (LRA-13) by RGI
AAM13572|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	3000507		Previously mapped to ARO:3001003 (TEM-139) by RGI
ZP_02197344|FEATURES|tet34|tetracycline|tet34	3002870		tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
NC_002745.1124031.p01|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:446993883:ref:WP_001071139.1:|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
AF024666.2.gene7.p01|FEATURES|tetB|tetracycline|tetB	3000166		Previously mapped to ARO:3002522 (novA) by RGI
ZP_02902942|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	3000166		Previously mapped to ARO:3000600 (Erm(34)) by RGI
YP_002418004|FEATURES|tet34|tetracycline|tet34	3002870		tet34 is a gene in CARD. However, its ARO isn't used by RGI (private model)
Q56016|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	3003333		https://pubchem.ncbi.nlm.nih.gov/protein/A7ZW03
AAL73823|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	3000507		Previously mapped to ARO:3001003 (TEM-139) by RGI
gi:446993884:ref:WP_001071140.1:|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:446993893:ref:WP_001071149.1:|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:1031778566:ref:WP_064126137.1:|FEATURES|fmtC|beta-lactam|fmtC	3000017		https://academic.oup.com/femsle/article-abstract/203/1/49/478714?redirectedFrom=fulltext
gi:771454993:ref:WP_045149547.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	0010004		Previously mapped to ARO:3002484 (LRA-13) by RGI
gi:1021747353:gb:KZO85247.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase	0010004		Previously mapped to ARO:3002484 (LRA-13) by RGI
AAC28105|FEATURES|Vibrio_cholerae_OmpT|peptide|Vibrio_cholerae_OmpT	3004118		Previously mapped to ARO:3004123 (Burkholderia pseudomallei Omp38) by RGI
NP_358969.1|FEATURES|patB|fluoroquinolone|patB	3000025		Previously mapped to ARO:3003692 (MexJ) by RGI
YP_004928104.1|FEATURES|CrpP|fluoroquinolone|CrpP	3004467		Previously mapped to ARO:3008590 (OXA-1172) by RGI
AID70696|FEATURES|Vibrio_cholerae_OmpU|peptide|Vibrio_cholerae_OmpU	3004117		Previously mapped to ARO:3004122 (Klebsiella pneumoniae OmpK37) by RGI
AKL79742.1|FEATURES|carO|beta-lactam|carO	3003808		Previously mapped to ARO:3005044 (OmpA) by RGI
ABF66011.1|FEATURES|lmrC|MLS|lmrC	3002881		Previously mapped to ARO:3000024 (patA) by RGI
AMP35312.1|FEATURES|vgaC|MLS|vgaC	3002831		Previously mapped to ARO:3003010 (ceoB) by RGI
